epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.215,1.05804,2.14318,1.4423,0.83785,0.75742,0.85279,0.64525,0.82254,0.82557,1.26956,0.00332046,0.00332046,0.00332046
2,305.29,0.98618,1.08275,1.34571,0.6252,0.52753,0.51036,0.33147,1.23117,1.86012,1.66408,0.00662086,0.00662086,0.00662086
3,457.56,1.20738,1.33719,1.49394,0.47763,0.37087,0.37233,0.18892,1.94761,2.35114,2.58346,0.00988826,0.00988826,0.00988826
4,609.955,1.34057,1.49768,1.57782,0.71964,0.63445,0.68619,0.4276,1.31447,1.60261,1.75299,0.0098515,0.0098515,0.0098515
5,761.883,1.24157,1.3099,1.50289,0.72372,0.67062,0.72455,0.46271,1.2622,1.22365,1.67124,0.009802,0.009802,0.009802
6,913.902,1.17192,1.18283,1.44587,0.77733,0.69405,0.75008,0.51342,1.12061,1.14292,1.52205,0.0097525,0.0097525,0.0097525
7,1065.85,1.12948,1.0956,1.4092,0.82368,0.77111,0.83171,0.56599,1.11383,0.87181,1.51996,0.009703,0.009703,0.009703
8,1217.58,1.07832,1.00842,1.37326,0.86448,0.84344,0.88491,0.65623,0.93543,0.71416,1.36955,0.0096535,0.0096535,0.0096535
9,1369.5,1.03774,0.95846,1.35001,0.89464,0.86736,0.92017,0.69225,0.89828,0.63487,1.32808,0.009604,0.009604,0.009604
10,1521.36,1.01595,0.92305,1.33026,0.91276,0.88531,0.93189,0.71582,0.85322,0.57512,1.29307,0.0095545,0.0095545,0.0095545
11,1673.23,0.98342,0.89223,1.31173,0.91431,0.87384,0.92829,0.71636,0.8375,0.57333,1.27692,0.009505,0.009505,0.009505
12,1825.23,0.97771,0.87288,1.30437,0.92334,0.89587,0.94722,0.74453,0.78294,0.53,1.22976,0.0094555,0.0094555,0.0094555
13,1977.11,0.95454,0.84193,1.29081,0.93001,0.88794,0.94411,0.75186,0.7653,0.51929,1.21406,0.009406,0.009406,0.009406
14,2129.03,0.93975,0.81955,1.28065,0.91302,0.88453,0.92535,0.73795,0.74886,0.54157,1.19863,0.0093565,0.0093565,0.0093565
15,2280.69,0.92593,0.79541,1.27035,0.92762,0.90769,0.95043,0.76481,0.74769,0.49214,1.18816,0.009307,0.009307,0.009307
16,2432.42,0.91146,0.78986,1.25582,0.93112,0.9146,0.94871,0.76933,0.73118,0.47165,1.17515,0.0092575,0.0092575,0.0092575
17,2584.21,0.90208,0.76201,1.25109,0.94251,0.90644,0.95338,0.77138,0.73345,0.44621,1.18084,0.009208,0.009208,0.009208
18,2735.95,0.88568,0.74214,1.24033,0.93469,0.92941,0.96481,0.79314,0.68768,0.42855,1.14416,0.0091585,0.0091585,0.0091585
19,2887.99,0.87671,0.73646,1.23172,0.93948,0.92248,0.95309,0.78965,0.68295,0.44457,1.13815,0.009109,0.009109,0.009109
20,3039.9,0.8766,0.7338,1.23705,0.93464,0.93143,0.96274,0.798,0.66924,0.4213,1.11921,0.0090595,0.0090595,0.0090595
21,3191.48,0.86801,0.7194,1.22923,0.94519,0.92923,0.9597,0.79741,0.6725,0.40865,1.12764,0.00901,0.00901,0.00901
22,3343.36,0.85905,0.71568,1.22318,0.94945,0.9323,0.9599,0.8048,0.64634,0.39505,1.11341,0.0089605,0.0089605,0.0089605
23,3495.2,0.84832,0.70923,1.21876,0.95301,0.9338,0.96727,0.81302,0.63056,0.39144,1.09677,0.008911,0.008911,0.008911
24,3647.06,0.84599,0.69215,1.21514,0.95382,0.94288,0.96721,0.8209,0.62037,0.36754,1.09746,0.0088615,0.0088615,0.0088615
25,3799.1,0.84363,0.68588,1.2102,0.95834,0.93352,0.96749,0.81808,0.62337,0.37508,1.09321,0.008812,0.008812,0.008812
26,3950.82,0.83486,0.68688,1.21021,0.95859,0.93889,0.96378,0.81522,0.62883,0.3654,1.09368,0.0087625,0.0087625,0.0087625
27,4102.57,0.82192,0.67102,1.19223,0.94561,0.9508,0.9702,0.82434,0.61221,0.36023,1.08507,0.008713,0.008713,0.008713
28,4254.63,0.81857,0.66329,1.19871,0.95665,0.9493,0.97319,0.83237,0.59989,0.34589,1.07526,0.0086635,0.0086635,0.0086635
29,4406.52,0.8138,0.65289,1.19719,0.95701,0.94837,0.97279,0.82936,0.59786,0.34334,1.07009,0.008614,0.008614,0.008614
30,4558.36,0.80733,0.64373,1.19164,0.95812,0.94763,0.97221,0.8374,0.58434,0.33668,1.05501,0.0085645,0.0085645,0.0085645
31,4710.21,0.80205,0.64248,1.18878,0.94462,0.95473,0.96806,0.83278,0.58247,0.34865,1.05578,0.008515,0.008515,0.008515
32,4861.81,0.80339,0.63849,1.18864,0.95671,0.94785,0.97014,0.84107,0.57825,0.33257,1.05369,0.0084655,0.0084655,0.0084655
33,5013.57,0.79954,0.63185,1.18908,0.95432,0.95602,0.97205,0.84322,0.56725,0.32683,1.04374,0.008416,0.008416,0.008416
34,5165.22,0.7951,0.62517,1.18241,0.95486,0.95451,0.97226,0.84459,0.56304,0.32078,1.04363,0.0083665,0.0083665,0.0083665
35,5317.01,0.78767,0.61985,1.17858,0.95903,0.95802,0.97475,0.8485,0.5632,0.31612,1.04311,0.008317,0.008317,0.008317
36,5468.68,0.78649,0.61127,1.17749,0.9547,0.96213,0.97331,0.85084,0.55518,0.31122,1.03813,0.0082675,0.0082675,0.0082675
37,5620.16,0.78177,0.61389,1.17155,0.95749,0.95957,0.97421,0.84995,0.56081,0.3124,1.03828,0.008218,0.008218,0.008218
38,5771.95,0.78413,0.61879,1.18052,0.96531,0.95731,0.97415,0.85575,0.5465,0.30285,1.02595,0.0081685,0.0081685,0.0081685
39,5923.57,0.77142,0.6075,1.16591,0.96421,0.95574,0.97831,0.85742,0.54752,0.30146,1.03001,0.008119,0.008119,0.008119
40,6075.07,0.76944,0.60091,1.16674,0.96647,0.95716,0.97697,0.85759,0.54463,0.29772,1.03074,0.0080695,0.0080695,0.0080695
41,6226.63,0.75756,0.59295,1.16106,0.96802,0.96017,0.97948,0.86098,0.54075,0.29372,1.02782,0.00802,0.00802,0.00802
42,6378.2,0.7668,0.59544,1.16278,0.96959,0.95819,0.97924,0.85968,0.54191,0.29347,1.0292,0.0079705,0.0079705,0.0079705
43,6529.67,0.7547,0.57899,1.1568,0.96274,0.9624,0.97701,0.86124,0.53494,0.29495,1.02378,0.007921,0.007921,0.007921
44,6680.98,0.75835,0.59392,1.16211,0.96037,0.96403,0.97728,0.8636,0.53072,0.29118,1.01857,0.0078715,0.0078715,0.0078715
45,6832.65,0.75976,0.58324,1.15699,0.96366,0.96457,0.97772,0.86216,0.53153,0.29121,1.01781,0.007822,0.007822,0.007822
46,6984.09,0.74398,0.58505,1.15024,0.96013,0.96323,0.97676,0.86276,0.53019,0.29071,1.02169,0.0077725,0.0077725,0.0077725
47,7135.71,0.75067,0.5761,1.15304,0.96418,0.96313,0.97825,0.86369,0.53031,0.2869,1.02004,0.007723,0.007723,0.007723
48,7287.32,0.74444,0.57339,1.15148,0.96095,0.96103,0.97681,0.86405,0.52542,0.28745,1.01633,0.0076735,0.0076735,0.0076735
49,7439.05,0.74339,0.56989,1.15282,0.95721,0.96547,0.97749,0.86734,0.52292,0.28614,1.01414,0.007624,0.007624,0.007624
50,7590.64,0.73764,0.5722,1.1451,0.95812,0.96419,0.97821,0.86843,0.52285,0.28533,1.01317,0.0075745,0.0075745,0.0075745
51,7742.3,0.7367,0.56746,1.14683,0.96253,0.9611,0.97781,0.86927,0.51771,0.28232,1.00994,0.007525,0.007525,0.007525
52,7894.01,0.7375,0.55982,1.14537,0.96378,0.9639,0.97894,0.87195,0.51393,0.27893,1.00596,0.0074755,0.0074755,0.0074755
53,8045.6,0.72601,0.55222,1.14032,0.96289,0.96465,0.97877,0.87224,0.51107,0.27765,1.0036,0.007426,0.007426,0.007426
54,8197.33,0.73023,0.55255,1.13812,0.96311,0.96548,0.97903,0.87187,0.51085,0.27671,1.00327,0.0073765,0.0073765,0.0073765
55,8348.74,0.73276,0.54939,1.14107,0.96077,0.96799,0.97944,0.87261,0.50955,0.27498,1.00254,0.007327,0.007327,0.007327
56,8500.57,0.72216,0.55176,1.13467,0.96009,0.96834,0.97991,0.87351,0.50808,0.27356,1.0014,0.0072775,0.0072775,0.0072775
57,8652.19,0.72116,0.55368,1.13638,0.96377,0.96754,0.98071,0.87528,0.5067,0.27139,1.00139,0.007228,0.007228,0.007228
58,8803.77,0.71519,0.54454,1.13156,0.96525,0.96648,0.98113,0.8757,0.50599,0.27003,1.00138,0.0071785,0.0071785,0.0071785
59,8955.41,0.7106,0.53623,1.13061,0.96549,0.96628,0.98112,0.87593,0.50525,0.2687,1.0015,0.007129,0.007129,0.007129
60,9106.94,0.71539,0.54094,1.1347,0.96688,0.96461,0.9807,0.87647,0.50416,0.2677,1.00078,0.0070795,0.0070795,0.0070795
61,9258.58,0.71443,0.54289,1.13659,0.96715,0.96527,0.9807,0.87626,0.50384,0.26729,1.00097,0.00703,0.00703,0.00703
62,9410.15,0.71139,0.54063,1.13311,0.96762,0.96486,0.98095,0.8764,0.5038,0.26764,1.00072,0.0069805,0.0069805,0.0069805
63,9561.68,0.71171,0.53485,1.12976,0.96772,0.96591,0.98114,0.87654,0.50303,0.26683,1.00063,0.006931,0.006931,0.006931
64,9713.18,0.70018,0.53313,1.12875,0.96804,0.9649,0.98104,0.8768,0.50294,0.26668,1.00087,0.0068815,0.0068815,0.0068815
65,9864.72,0.69847,0.53351,1.12732,0.96065,0.9739,0.98103,0.87702,0.50246,0.26572,1.00048,0.006832,0.006832,0.006832
66,10016.5,0.69935,0.5318,1.12582,0.96114,0.97393,0.98121,0.87744,0.50234,0.26488,1.00001,0.0067825,0.0067825,0.0067825
67,10168.3,0.70263,0.52829,1.12468,0.96468,0.96954,0.98124,0.87759,0.50172,0.26539,0.99963,0.006733,0.006733,0.006733
68,10320,0.68901,0.52078,1.11926,0.965,0.97019,0.98117,0.8775,0.50127,0.26503,0.99962,0.0066835,0.0066835,0.0066835
69,10471.8,0.69312,0.5257,1.12183,0.96712,0.96957,0.98117,0.87775,0.50121,0.26434,0.99958,0.006634,0.006634,0.006634
70,10623.5,0.6991,0.52122,1.1226,0.96753,0.96822,0.98095,0.87803,0.50068,0.26355,0.99931,0.0065845,0.0065845,0.0065845
