epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9687,1.09348,2.41312,1.47279,0.76876,0.74468,0.80053,0.60871,0.80457,0.96095,1.2446,0.003309,0.003309,0.003309
2,125.152,0.91337,1.01499,1.29441,0.8118,0.76278,0.81963,0.57352,1.04001,0.92807,1.51509,0.00660946,0.00660946,0.00660946
3,186.513,1.0631,1.11486,1.39576,0.59289,0.53276,0.56434,0.32596,1.45037,1.8864,2.11928,0.00987691,0.00987691,0.00987691
4,247.962,1.19516,1.2519,1.47757,0.72137,0.60246,0.65071,0.39453,1.35803,1.67329,1.95124,0.0098515,0.0098515,0.0098515
5,309.09,1.14854,1.16188,1.43843,0.72793,0.68162,0.73165,0.47382,1.21922,1.33494,1.70146,0.009802,0.009802,0.009802
6,370.949,1.105,1.07491,1.40334,0.69322,0.57912,0.55929,0.34414,1.33202,1.91991,1.73954,0.0097525,0.0097525,0.0097525
7,431.954,1.06347,1.01418,1.37166,0.81568,0.74834,0.83329,0.60674,0.98914,0.9504,1.44085,0.009703,0.009703,0.009703
8,493.194,1.03024,0.94759,1.34146,0.87487,0.85147,0.89777,0.67997,0.87757,0.69517,1.31736,0.0096535,0.0096535,0.0096535
9,554.433,0.9937,0.91815,1.32024,0.89389,0.83458,0.89124,0.66874,0.92491,0.68235,1.35876,0.009604,0.009604,0.009604
10,615.539,0.98147,0.88857,1.31414,0.85515,0.80515,0.87418,0.62401,1.02025,0.76186,1.42856,0.0095545,0.0095545,0.0095545
11,676.731,0.95339,0.85573,1.29642,0.86074,0.81919,0.87216,0.65914,0.90272,0.73518,1.33554,0.009505,0.009505,0.009505
12,737.968,0.94631,0.8342,1.28835,0.92469,0.88315,0.93491,0.73325,0.80204,0.53768,1.25656,0.0094555,0.0094555,0.0094555
13,799.1,0.93405,0.81803,1.27971,0.90529,0.88117,0.9308,0.71295,0.8425,0.58654,1.27279,0.009406,0.009406,0.009406
14,860.196,0.9114,0.78617,1.27051,0.93157,0.90594,0.94814,0.74788,0.77094,0.51765,1.22356,0.0093565,0.0093565,0.0093565
15,921.438,0.90504,0.77598,1.25997,0.93034,0.90506,0.94614,0.75147,0.77045,0.49777,1.20698,0.009307,0.009307,0.009307
16,982.31,0.898,0.7606,1.25153,0.89031,0.87399,0.93876,0.76023,0.74342,0.548,1.1834,0.0092575,0.0092575,0.0092575
17,1043.26,0.88048,0.72988,1.23675,0.92367,0.90844,0.94898,0.76434,0.73185,0.47181,1.17576,0.009208,0.009208,0.009208
18,1104.33,0.86789,0.72088,1.23304,0.91312,0.89789,0.94047,0.76297,0.72017,0.517,1.17125,0.0091585,0.0091585,0.0091585
19,1165.48,0.8586,0.70929,1.22979,0.92805,0.90447,0.94207,0.75468,0.7762,0.48509,1.20769,0.009109,0.009109,0.009109
20,1226.46,0.85804,0.70473,1.22528,0.92785,0.91844,0.95042,0.7909,0.67647,0.44344,1.1448,0.0090595,0.0090595,0.0090595
21,1287.48,0.84616,0.69659,1.22081,0.92944,0.91476,0.96071,0.79887,0.67295,0.44211,1.13166,0.00901,0.00901,0.00901
22,1348.63,0.83309,0.68329,1.21232,0.92117,0.89881,0.96122,0.79226,0.67502,0.46179,1.13822,0.0089605,0.0089605,0.0089605
23,1409.48,0.83016,0.68123,1.21085,0.93012,0.92636,0.9543,0.77324,0.7176,0.46262,1.16762,0.008911,0.008911,0.008911
24,1470.55,0.82408,0.66505,1.20204,0.93963,0.91606,0.95874,0.80617,0.65702,0.43132,1.111,0.0088615,0.0088615,0.0088615
25,1531.37,0.81649,0.66503,1.19751,0.95172,0.92017,0.96338,0.81077,0.65369,0.40509,1.1069,0.008812,0.008812,0.008812
26,1592.42,0.81605,0.65453,1.19863,0.94331,0.92561,0.96416,0.80614,0.65861,0.40717,1.11685,0.0087625,0.0087625,0.0087625
27,1653.48,0.80419,0.65144,1.19013,0.95837,0.93818,0.97163,0.82199,0.62121,0.37478,1.08634,0.008713,0.008713,0.008713
